regime,varied,N,r,m,e_max,cost_scale,mean_prop_vigilant,sd_prop_across_individuals,n_per_period
sentinel (concave),baseline,4,5.0,0.3,10.0,10.0,0.24856783919597988,0.017556234883892425,0.9942713567839196
sentinel (concave),r,4,0.5,0.3,10.0,10.0,0.0,0.0,0.0
sentinel (concave),r,4,50.0,0.3,10.0,10.0,0.4963065326633166,0.009444395756038974,1.9852261306532664
sentinel (concave),N,2,5.0,0.3,10.0,10.0,0.49417085427135676,0.002211055276381907,0.9883417085427135
sentinel (concave),N,8,5.0,0.3,10.0,10.0,0.12473618090452261,0.022319051069782044,0.9978894472361809
sentinel (concave),N,16,5.0,0.3,10.0,10.0,0.06244346733668342,0.013542630534142855,0.9990954773869347
sentinel (concave),m,4,5.0,0.1,10.0,10.0,0.25,0.4330127018922193,1.0
sentinel (concave),m,4,5.0,0.2,10.0,10.0,0.24959798994974874,0.03479227299335211,0.998391959798995
sentinel (concave),m,4,5.0,0.5,10.0,10.0,0.24683417085427137,0.01901636614230093,0.9873366834170855
sentinel (concave),e_max,4,5.0,0.3,5.0,10.0,0.24678391959798995,0.009146418881678909,0.9871356783919598
sentinel (concave),e_max,4,5.0,0.3,20.0,10.0,0.4940954773869346,0.008654128614260934,1.9763819095477386
sentinel (concave),cost_scale,4,5.0,0.3,10.0,0.1,0.799572864321608,0.004416610901729547,3.198291457286432
sentinel (concave),cost_scale,4,5.0,0.3,10.0,1.0,0.4963065326633166,0.009444395756038974,1.9852261306532664
many-eyes (convex),baseline,4,5.0,0.3,10.0,10.0,1.0,0.0,4.0
many-eyes (convex),r,4,0.5,0.3,10.0,10.0,0.0,0.0,0.0
many-eyes (convex),r,4,50.0,0.3,10.0,10.0,1.0,0.0,4.0
many-eyes (convex),N,2,5.0,0.3,10.0,10.0,1.0,0.0,2.0
many-eyes (convex),N,8,5.0,0.3,10.0,10.0,1.0,0.0,8.0
many-eyes (convex),N,16,5.0,0.3,10.0,10.0,0.9997801507537688,0.00024416823775850457,15.9964824120603
many-eyes (convex),m,4,5.0,0.1,10.0,10.0,1.0,0.0,4.0
many-eyes (convex),m,4,5.0,0.2,10.0,10.0,1.0,0.0,4.0
many-eyes (convex),m,4,5.0,0.5,10.0,10.0,0.9996733668341709,0.00035086030260724925,3.9986934673366834
many-eyes (convex),e_max,4,5.0,0.3,5.0,10.0,0.9998743718592965,0.00021759432255890994,3.999497487437186
many-eyes (convex),e_max,4,5.0,0.3,20.0,10.0,1.0,0.0,4.0
many-eyes (convex),cost_scale,4,5.0,0.3,10.0,0.1,1.0,0.0,4.0
many-eyes (convex),cost_scale,4,5.0,0.3,10.0,1.0,1.0,0.0,4.0
